ClientID,ClientName,ClientStartDate,InvoiceMonth,ServiceTier_Contract,ServerCount_Contract,ServerCount_Actual_Avg,SupportTicketCount,BilledAmount_INR
CL-15441,"Dubey, Tailor and Batra",2022-08-25,2022-10-01,Pro,27,28,2.0,223847.26
CL-25169,Kakar Group,2016-09-28,2019-07-01,Basic,11,11,,44138.33
CL-88571,"Narasimhan, Reddy and Dhawan",2014-12-25,2024-06-01,Basic,8,8,0.0,32423.22
CL-66584,Bhasin-Rastogi,2022-05-01,2024-06-01,Enterprise,86,93,5.0,1396665.73
CL-37188,Rege PLC,2020-02-18,2020-07-01,Basic,13,13,,52570.08
CL-47356,Tank Ltd,2017-01-03,2018-12-01,Basic,10,9,,36051.62
CL-61490,"Ghose, Purohit and Natt",2015-01-21,2018-10-01,Basic,6,6,,23927.59
CL-58664,Tella-Dara,2018-05-19,2023-09-01,Pro,34,37,2.0,292006.99
CL-77568,Atwal LLC,2017-10-21,2023-01-01,Basic,11,10,0.0,39407.33
CL-93734,"Ganguly, Ramanathan and Chahal",2015-01-13,2020-05-01,Pro,29,28,,222094.31
CL-88571,"Narasimhan, Reddy and Dhawan",2014-12-25,2015-04-01,Basic,8,8,,32507.12
CL-99845,Chadha-Patel,2015-12-09,2016-03-01,Basic,13,14,,55149.16
CL-37071,Atwal and Sons,2016-11-03,2019-02-01,Basic,7,7,,27515.89
CL-40503,"Ghosh, Hans and Patil",2022-02-12,2024-02-01,Basic,14,14,3.0,55029.19
CL-61490,"Ghose, Purohit and Natt",2015-01-21,2015-07-01,Basic,6,6,,24134.91
CL-13321,"Taneja, Acharya and Thaman",2014-08-11,2016-06-01,Pro,38,39,,312970.71
CL-95937,"Rege, Zachariah and Nadig",2023-09-12,2025-07-01,Basic,11,11,1.0,43576.11
CL-36551,Kumer-Ganesan,2018-09-30,2023-09-01,Pro,34,37,2.0,293218.24
CL-59245,Sibal-Brahmbhatt,2018-08-24,2018-12-01,Pro,34,31,,245818.16
CL-77568,Atwal LLC,2017-10-21,2018-03-01,Basic,11,12,,47271.27
CL-71617,Chacko Ltd,2013-09-29,2015-03-01,Basic,9,9,,35570.73
CL-63550,"Garde, Vyas and Sathe",2020-01-16,2024-01-01,Pro,23,20,1.0,159981.19
CL-61833,"Rattan, Subramanian and Pandya",2016-11-03,2023-01-01,Basic,15,13,2.0,52793.45
CL-85839,Kapadia and Sons,2019-09-25,2025-04-01,Basic,8,8,2.0,32231.89
CL-41706,"Manne, Verma and Gour",2015-12-28,2021-06-01,Pro,31,33,,269014.7
CL-51532,Kadakia and Sons,2016-11-21,2022-03-01,Basic,13,14,1.0,55008.29
CL-26954,"Dani, Issac and Bahri",2022-05-18,2024-10-01,Basic,13,13,6.0,51289.42
